id,type,name,sot,in_module,service,evidence_primary,discovered_in_wave
wave:001,Wave,Wave 1 — Foundation,,,,falcon-wiki/200-Graph/waves/WAVE-001-GRAPH-PLAYBACK.md,1
app:host-shell,App,host-shell,,,,[MEMORY] project_host_shell_ng0201_domrendererfactory2_2026_05_20,1
app:admin-console,App,admin-console,,,,[MEMORY] project_admin_console_host_shell_circular_build_fix_2026_05_17,1
app:management-console,App,management-console,,,,Brain Outputs/datasets/authority-dataset/04-feature-parity-matrix/MATRIX.md,1
app:comm-channels,App,comm-channels,,,,[MEMORY] project_admin_console_comm_marketplace_features_2026_05_19,1
app:marketplace,App,marketplace,,,,[MEMORY] project_admin_console_comm_marketplace_features_2026_05_19,1
mod:account-mgmt,Module,Account Management,,,,Brain Outputs/prd/modules/01-account-management/,1
mod:user-mgmt,Module,User Management,,,,Brain Outputs/prd/modules/02-user-management/,1
mod:contract-charging-billing,Module,Contract / Packaging / Charging / Billing,,,,Brain Outputs/prd/modules/03-contract-packaging-charging-billing-management/,1
mod:contact-group-mgmt,Module,Contact Group Management,,,,Brain Outputs/prd/modules/04-contact-group-management/,1
mod:templates,Module,Templates,,,,Brain Outputs/prd/modules/05-templates/,1
mod:root-documents,Module,Root Documents (Identity / Auth shared),,,,Brain Outputs/prd/modules/root-documents/,1
svc:access,Service,access,,,,Brain Outputs/understanding/backend/access/,1
svc:charging,Service,charging,,,,Brain Outputs/understanding/backend/charging/,1
svc:commerce,Service,commerce,,,,Brain Outputs/understanding/backend/commerce/,1
svc:contact-group,Service,contact-group,,,,Brain Outputs/understanding/backend/contact-group/,1
svc:core-gateway,Service,core-gateway,,,,Brain Outputs/understanding/backend/core-gateway/,1
svc:identity,Service,identity,,,,Brain Outputs/understanding/backend/identity/,1
svc:provisioning,Service,provisioning,,,,Brain Outputs/understanding/backend/provisioning/,1
svc:system-gateway,Service,system-gateway,,,,Brain Outputs/understanding/backend/system-gateway/,1
svc:templates,Service,templates,,,,Brain Outputs/understanding/backend/templates/,1
page:add-contract,Page,Add Contract,,mod:contract-charging-billing,,Brain Outputs/understanding/pages/add-contract/,1
page:change-password,Page,Change Password,,mod:user-mgmt,,Brain Outputs/understanding/pages/change-password/,1
page:contact-groups-list,Page,Contact Groups List,,mod:contact-group-mgmt,,Brain Outputs/understanding/pages/contact-groups-list/,1
page:contracts-list,Page,Contracts List,,mod:contract-charging-billing,,Brain Outputs/understanding/pages/contracts-list/,1
page:create-contact-group,Page,Create Contact Group,,mod:contact-group-mgmt,,Brain Outputs/understanding/pages/create-contact-group/,1
page:create-template-whatsapp,Page,Create Template (WhatsApp),,mod:templates,,Brain Outputs/understanding/pages/create-template-whatsapp/,1
page:edit-contract,Page,Edit Contract,,mod:contract-charging-billing,,Brain Outputs/understanding/pages/edit-contract/,1
page:edit-user,Page,Edit User,,mod:user-mgmt,,Brain Outputs/understanding/pages/edit-user/,1
page:forgot-password,Page,Forgot Password,,mod:root-documents,,Brain Outputs/understanding/pages/forgot-password/,1
page:login,Page,Login,,mod:root-documents,,Brain Outputs/understanding/pages/login/,1
page:my-profile,Page,My Profile,,mod:user-mgmt,,Brain Outputs/understanding/pages/my-profile/,1
page:organization-hierarchy,Page,Organization Hierarchy,,mod:account-mgmt,,Brain Outputs/understanding/pages/organization-hierarchy/,1
page:templates-list,Page,Templates List,,mod:templates,,Brain Outputs/understanding/pages/templates-list/,1
page:wallets-and-balance-management,Page,Wallets and Balance Management,,mod:contract-charging-billing,,Brain Outputs/understanding/pages/wallets-and-balance-management/,1
vrule:account-name-format-xlsx-2026-05-24,ValidationRule,V-account-name-format-xlsx-2026-05-24,xlsx,mod:account-mgmt,svc:commerce,Brain SK/_obsidian/30-Validation/V-account-name-format-xlsx-2026-05-24.md,1
vrule:person-name-format-xlsx-2026-05-24,ValidationRule,V-person-name-format-xlsx-2026-05-24,xlsx,mod:user-mgmt,,Brain SK/_obsidian/30-Validation/V-person-name-format-xlsx-2026-05-24.md,1
vrule:username-format-xlsx-2026-05-24,ValidationRule,V-username-format-xlsx-2026-05-24,xlsx,mod:user-mgmt,,Brain SK/_obsidian/30-Validation/V-username-format-xlsx-2026-05-24.md,1
vrule:account-name-format-uniqueness,ValidationRule,V-account-name-format-uniqueness (SUPERSEDED),prd,mod:account-mgmt,,Brain SK/_obsidian/30-Validation/V-account-name-format-uniqueness.md,1
